player_id,player
1190,GAV Baxter
1191,HM Rowe
1192,Iram Javed
1193,JAK Bromley
1194,Maham Tariq
1195,Nahida Khan
1196,Nain Abidi
1197,Nida Dar
1198,Sadia Yousuf
1199,Sana Mir
1200,Sidra Nawaz
1201,TMM Newton
1202,Aliya Riaz
1203,Javeria Khan
1204,K Cross
1205,SRH Curtis
1206,Anam Amin
1207,Diana Baig
1208,JM Dempsey
1209,RG Hooper
1210,D Venter
1211,RE Hayward
1212,GA Stirrat
1213,RA Dykes
1214,KD Earl
1215,AW Mathieson
1216,AY Patel
1217,BF Bowden
1218,BM Tickner
1219,BS Smith
1220,BS Wilson
1221,C Viljoen
1222,D Cleaver
1223,DC de Boorder
1224,GR Hay
1225,HD Rutherford
1226,JA Duffy
1227,JL Finnie
1228,M Renwick
1229,NG Smith
1230,RJ McCone
1231,RM Duffy
1232,RM Phillips
1233,SR Wells
1234,WA Young
1235,A Mehrotra
1236,AM Ellis
1237,B Popli
1238,CD Fletcher
1239,CJ Bowes
1240,DJ Mitchell
1241,DR Flynn
1242,EJ Nuttall
1243,HB Shipley
1244,JD Baker
1245,JF Carter
1246,JG Walker
1247,KA Jamieson
1248,KJ McClure
1249,MSJ Davidson
1250,NF Kelly
1251,PG Fulton
1252,TG Johnston
1253,TJ Parlane
1254,TL Seifert
1255,ZN Gibson
1256,B Cachopa
1257,BJ Arnel
1258,DJ Grobbelaar
1259,DJ Walker
1260,DS Hutchinson
1261,HJH Marshall
1262,IG McPeake
1263,LJ Woodcock
1264,MA Pollard
1265,MHW Papps
1266,MJ Taylor
1267,ML Guptill-Bunce
1268,RJ Nicol
1269,RR O'Donnell
1270,S Hicks
1271,SJ Murdoch
1272,TS Nethula
1273,TC Goodin
1274,PD Jones
1275,CW Andrews
1276,MB McEwan
1277,MS Chapman
1278,AK Kitchen
1279,CK Leopard
1280,MG Bracewell
1281,NA Patel
1282,JS Hunter
1283,MD Rae
1284,BR Hampton
1285,HR Cooper
1286,JD Ryder
1287,CE McConchie
1288,JCT Boyle
1289,LV van Beek
1290,SM Solia
1291,Aniket Parikh
1292,BJ Horne
1293,RS Sandhu
1294,SW Eathorne
1295,MJ McClenaghan
1296,PJ Malcon
1297,K Pulley
1298,WSA Williams
1299,GW Croudis
